timestamp,label,ch1_theta,ch1_alpha,ch1_beta,ch1_gamma,ch1_beta_alpha,ch1_beta_theta_alpha,ch1_one_over_alpha,ch1_rms,ch2_theta,ch2_alpha,ch2_beta,ch2_gamma,ch2_beta_alpha,ch2_beta_theta_alpha,ch2_one_over_alpha,ch2_rms,ch3_theta,ch3_alpha,ch3_beta,ch3_gamma,ch3_beta_alpha,ch3_beta_theta_alpha,ch3_one_over_alpha,ch3_rms,ch4_theta,ch4_alpha,ch4_beta,ch4_gamma,ch4_beta_alpha,ch4_beta_theta_alpha,ch4_one_over_alpha,ch4_rms,ch5_theta,ch5_alpha,ch5_beta,ch5_gamma,ch5_beta_alpha,ch5_beta_theta_alpha,ch5_one_over_alpha,ch5_rms,ch6_theta,ch6_alpha,ch6_beta,ch6_gamma,ch6_beta_alpha,ch6_beta_theta_alpha,ch6_one_over_alpha,ch6_rms,ch7_theta,ch7_alpha,ch7_beta,ch7_gamma,ch7_beta_alpha,ch7_beta_theta_alpha,ch7_one_over_alpha,ch7_rms,ch8_theta,ch8_alpha,ch8_beta,ch8_gamma,ch8_beta_alpha,ch8_beta_theta_alpha,ch8_one_over_alpha,ch8_rms,avg_beta_alpha,avg_beta_theta_alpha,avg_one_over_alpha
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613760.6844096,1,0,0,0,0,1.007,0.268,0.0,211.9,0,0,0,0,1.023,0.272,0.0,162.3,0,0,0,0,1.023,0.272,0.0,162.4,0,0,0,0,0.98,0.261,0.0,145.6,0,0,0,0,0.936,0.191,0.0,1653.9,0,0,0,0,1.023,0.27,0.0,146.9,0,0,0,0,1.023,0.28,0.0,107.3,0,0,0,0,1.023,0.272,0.0,162.4,1.0049,0.2606,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.1655304,1,0,0,0,0,0.993,0.263,0.0,62.3,0,0,0,0,0.986,0.263,0.0,171.7,0,0,0,0,0.986,0.263,0.0,171.8,0,0,0,0,1.008,0.267,0.0,149.0,0,0,0,0,0.876,0.168,0.0,1508.6,0,0,0,0,0.995,0.263,0.0,48.7,0,0,0,0,1.083,0.275,0.0,40.2,0,0,0,0,0.986,0.263,0.0,171.8,0.9893,0.2532,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613761.6459925,1,0,0,0,0,1.004,0.264,0.0,38.7,0,0,0,0,1.005,0.271,0.0,71.4,0,0,0,0,1.005,0.271,0.0,71.5,0,0,0,0,0.996,0.261,0.0,62.3,0,0,0,0,0.908,0.17,0.0,673.9,0,0,0,0,1.003,0.264,0.0,15.3,0,0,0,0,1.002,0.259,0.0,16.0,0,0,0,0,1.004,0.271,0.0,71.5,0.9907,0.2539,0.0
1778613762.1269748,1,0,0,0,0,0.999,0.265,0.0,16.6,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,1.005,0.266,0.0,16.8,0,0,0,0,0.909,0.169,0.0,56.4,0,0,0,0,0.999,0.263,0.0,5.7,0,0,0,0,1.07,0.27,0.0,13.3,0,0,0,0,0.989,0.264,0.0,15.2,0.9938,0.253,0.0
1778613762.1269748,1,0,0,0,0,0.999,0.265,0.0,16.6,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,1.005,0.266,0.0,16.8,0,0,0,0,0.909,0.169,0.0,56.4,0,0,0,0,0.999,0.263,0.0,5.7,0,0,0,0,1.07,0.27,0.0,13.3,0,0,0,0,0.989,0.264,0.0,15.2,0.9938,0.253,0.0
1778613762.1269748,1,0,0,0,0,0.999,0.265,0.0,16.6,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,1.005,0.266,0.0,16.8,0,0,0,0,0.909,0.169,0.0,56.4,0,0,0,0,0.999,0.263,0.0,5.7,0,0,0,0,1.07,0.27,0.0,13.3,0,0,0,0,0.989,0.264,0.0,15.2,0.9938,0.253,0.0
1778613762.1269748,1,0,0,0,0,0.999,0.265,0.0,16.6,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,0.99,0.264,0.0,15.2,0,0,0,0,1.005,0.266,0.0,16.8,0,0,0,0,0.909,0.169,0.0,56.4,0,0,0,0,0.999,0.263,0.0,5.7,0,0,0,0,1.07,0.27,0.0,13.3,0,0,0,0,0.989,0.264,0.0,15.2,0.9938,0.253,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613762.606773,1,0,0,0,0,1.004,0.265,0.0,16.9,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,0.997,0.266,0.0,15.3,0,0,0,0,1.001,0.265,0.0,14.9,0,0,0,0,0.863,0.188,0.0,34.7,0,0,0,0,0.993,0.265,0.0,5.8,0,0,0,0,1.084,0.261,0.0,14.1,0,0,0,0,0.997,0.266,0.0,15.3,0.9921,0.2553,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.0877223,1,0,0,0,0,0.98,0.257,0.0,16.1,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,0.985,0.258,0.0,13.7,0,0,0,0,1.01,0.27,0.0,13.0,0,0,0,0,0.661,0.133,0.0,33.5,0,0,0,0,0.972,0.257,0.0,6.3,0,0,0,0,1.035,0.237,0.0,14.6,0,0,0,0,0.985,0.258,0.0,13.7,0.9517,0.2408,0.0
1778613763.5685258,1,0,0,0,0,0.995,0.265,0.0,20.1,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,1.001,0.266,0.0,12.1,0,0,0,0,0.875,0.212,0.0,32.3,0,0,0,0,0.99,0.261,0.0,6.0,0,0,0,0,0.983,0.25,0.0,13.4,0,0,0,0,0.998,0.265,0.0,13.0,0.9798,0.2561,0.0
1778613763.5685258,1,0,0,0,0,0.995,0.265,0.0,20.1,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,1.001,0.266,0.0,12.1,0,0,0,0,0.875,0.212,0.0,32.3,0,0,0,0,0.99,0.261,0.0,6.0,0,0,0,0,0.983,0.25,0.0,13.4,0,0,0,0,0.998,0.265,0.0,13.0,0.9798,0.2561,0.0
1778613763.5685258,1,0,0,0,0,0.995,0.265,0.0,20.1,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,1.001,0.266,0.0,12.1,0,0,0,0,0.875,0.212,0.0,32.3,0,0,0,0,0.99,0.261,0.0,6.0,0,0,0,0,0.983,0.25,0.0,13.4,0,0,0,0,0.998,0.265,0.0,13.0,0.9798,0.2561,0.0
1778613763.5685258,1,0,0,0,0,0.995,0.265,0.0,20.1,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,1.001,0.266,0.0,12.1,0,0,0,0,0.875,0.212,0.0,32.3,0,0,0,0,0.99,0.261,0.0,6.0,0,0,0,0,0.983,0.25,0.0,13.4,0,0,0,0,0.998,0.265,0.0,13.0,0.9798,0.2561,0.0
1778613763.5685258,1,0,0,0,0,0.995,0.265,0.0,20.1,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,0.998,0.265,0.0,13.0,0,0,0,0,1.001,0.266,0.0,12.1,0,0,0,0,0.875,0.212,0.0,32.3,0,0,0,0,0.99,0.261,0.0,6.0,0,0,0,0,0.983,0.25,0.0,13.4,0,0,0,0,0.998,0.265,0.0,13.0,0.9798,0.2561,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.048788,1,0,0,0,0,1.0,0.27,0.0,20.2,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,1.007,0.269,0.0,13.8,0,0,0,0,0.996,0.263,0.0,12.9,0,0,0,0,0.972,0.278,0.0,34.4,0,0,0,0,0.996,0.268,0.0,5.5,0,0,0,0,1.016,0.274,0.0,13.5,0,0,0,0,1.007,0.269,0.0,13.8,1.0,0.2701,0.0
1778613764.529748,1,0,0,0,0,1.001,0.264,0.0,16.1,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,1.008,0.269,0.0,16.3,0,0,0,0,1.013,0.232,0.0,65.8,0,0,0,0,1.001,0.265,0.0,5.4,0,0,0,0,1.045,0.259,0.0,13.7,0,0,0,0,0.988,0.261,0.0,17.3,1.0039,0.2589,0.0
1778613764.529748,1,0,0,0,0,1.001,0.264,0.0,16.1,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,1.008,0.269,0.0,16.3,0,0,0,0,1.013,0.232,0.0,65.8,0,0,0,0,1.001,0.265,0.0,5.4,0,0,0,0,1.045,0.259,0.0,13.7,0,0,0,0,0.988,0.261,0.0,17.3,1.0039,0.2589,0.0
1778613764.529748,1,0,0,0,0,1.001,0.264,0.0,16.1,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,1.008,0.269,0.0,16.3,0,0,0,0,1.013,0.232,0.0,65.8,0,0,0,0,1.001,0.265,0.0,5.4,0,0,0,0,1.045,0.259,0.0,13.7,0,0,0,0,0.988,0.261,0.0,17.3,1.0039,0.2589,0.0
1778613764.529748,1,0,0,0,0,1.001,0.264,0.0,16.1,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,1.008,0.269,0.0,16.3,0,0,0,0,1.013,0.232,0.0,65.8,0,0,0,0,1.001,0.265,0.0,5.4,0,0,0,0,1.045,0.259,0.0,13.7,0,0,0,0,0.988,0.261,0.0,17.3,1.0039,0.2589,0.0
1778613764.529748,1,0,0,0,0,1.001,0.264,0.0,16.1,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,0.988,0.261,0.0,17.3,0,0,0,0,1.008,0.269,0.0,16.3,0,0,0,0,1.013,0.232,0.0,65.8,0,0,0,0,1.001,0.265,0.0,5.4,0,0,0,0,1.045,0.259,0.0,13.7,0,0,0,0,0.988,0.261,0.0,17.3,1.0039,0.2589,0.0
1778613765.0105748,1,0,0,0,0,1.012,0.267,0.0,16.2,0,0,0,0,1.011,0.261,0.0,18.2,0,0,0,0,1.011,0.261,0.0,18.3,0,0,0,0,0.991,0.268,0.0,17.2,0,0,0,0,1.107,0.26,0.0,72.8,0,0,0,0,1.021,0.272,0.0,5.4,0,0,0,0,1.044,0.285,0.0,13.7,0,0,0,0,1.011,0.261,0.0,18.3,1.026,0.2668,0.0
